w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;
0.18811;-0.25309;0.93907;0.66205;0.48848;-0.87801;-0.80386;0.53015;-0.09684;0.72148;-0.31200;-0.42677;-0.98664;0.77174;-0.17927;0.02946;0.46046;-0.67321;
0.28032;-0.13064;0.92492;0.64344;0.48166;-0.88772;-0.79623;0.54421;-0.08084;0.74187;-0.19806;-0.29782;-1.02752;0.69069;-0.26969;0.11756;0.54856;-0.37922;
0.27749;0.00706;0.92428;0.63501;0.48268;-0.89533;-0.81381;0.53759;-0.08422;0.68240;-0.03419;-0.09913;-1.02043;0.68641;-0.27637;0.36947;0.80047;-0.10033;
0.28371;0.04268;0.92349;0.63507;0.48501;-0.89402;-0.84916;0.49439;-0.12649;0.66321;-0.02228;-0.07840;-1.01343;0.69500;-0.26800;0.38520;0.81620;-0.15787;
0.29379;0.07780;0.92195;0.63429;0.48981;-0.89029;-0.91654;0.41269;-0.20779;0.63268;-0.03095;-0.07783;-0.98908;0.72473;-0.23869;0.43442;0.86542;-0.28805;
0.31725;0.12015;0.91769;0.62975;0.50090;-0.88128;-1.01237;0.30478;-0.31406;0.59660;-0.04323;-0.07667;-0.93761;0.78195;-0.18460;0.55758;0.98858;-0.45974;
0.37215;0.16964;0.90447;0.61460;0.51725;-0.87155;-1.08761;0.24831;-0.35730;0.58654;-0.00834;-0.01535;-0.89027;0.81685;-0.16302;0.69709;1.12809;-0.53689;
0.40435;0.15424;0.89273;0.60607;0.52705;-0.87248;-1.10548;0.29591;-0.27536;0.57771;0.05315;0.08605;-0.85627;0.82998;-0.16740;0.85781;1.28881;-0.51551;
0.41817;0.10190;0.88230;0.62106;0.51679;-0.88228;-1.11763;0.39198;-0.13470;0.54910;0.15369;0.24064;-0.83415;0.83316;-0.17844;1.07165;1.50265;-0.46540;
0.48631;-0.03640;0.84401;0.99824;0.24418;-0.76618;-1.28725;0.94511;0.54464;0.39765;1.29641;1.60211;-0.81386;0.82189;-0.19890;2.13333;2.56433;0.12488;
0.53969;-0.05146;0.84246;1.10811;0.16282;-0.64935;-1.38154;0.99791;0.60792;0.38507;1.71382;2.05222;-0.82721;0.81197;-0.20865;2.37966;2.81066;0.27654;
0.58366;-0.03265;0.84485;1.15798;0.08956;-0.61748;-1.44756;0.97812;0.59142;0.42998;1.93728;2.28889;-0.84484;0.79312;-0.22765;2.50701;2.93801;0.27101;
0.61138;-0.01948;0.84738;1.19222;-0.01035;-0.63975;-1.50200;0.94904;0.56646;0.42738;2.03951;2.39855;-0.86533;0.76958;-0.25110;2.63290;3.06390;0.20986;
0.61534;-0.02292;0.86359;1.23008;-0.01453;-0.58654;-1.50085;0.97112;0.59476;0.48980;2.18416;2.54979;-0.87315;0.76016;-0.25978;2.67015;3.10115;0.22181;
0.61487;-0.02626;0.87928;1.26109;-0.04512;-0.57331;-1.50441;0.97806;0.60847;0.50282;2.25015;2.62016;-0.88200;0.74887;-0.27010;2.71669;3.14769;0.20773;
0.61038;-0.03128;0.89827;1.29124;-0.06697;-0.56098;-1.50229;0.98552;0.62326;0.51036;2.29656;2.67031;-0.88921;0.73911;-0.27871;2.75135;3.18235;0.19756;
0.60713;-0.03382;0.91769;1.31922;-0.11774;-0.58366;-1.51223;0.97417;0.61960;0.48170;2.29116;2.66792;-0.89884;0.72606;-0.29050;2.80577;3.23677;0.15932;
0.59745;-0.04219;0.94606;1.35437;-0.09698;-0.53923;-1.49208;0.99591;0.64994;0.51968;2.35982;2.74066;-0.90273;0.71968;-0.29549;2.80596;3.23696;0.17849;
0.59077;-0.04727;0.97429;1.38801;-0.10776;-0.52984;-1.48594;0.99805;0.66096;0.52344;2.38228;2.76671;-0.90984;0.70917;-0.30462;2.82970;3.26070;0.16790;
0.58452;-0.05183;1.00458;1.42260;-0.11646;-0.52143;-1.47955;0.99832;0.67042;0.52701;2.40018;2.78823;-0.91737;0.69803;-0.31441;2.85178;3.28278;0.15661;
0.58205;-0.05262;1.03538;1.45689;-0.15896;-0.54917;-1.48801;0.97815;0.65971;0.49752;2.37361;2.76508;-0.92779;0.68320;-0.32795;2.89825;3.32925;0.11563;
0.57360;-0.05946;1.07121;1.49558;-0.12944;-0.50674;-1.46560;0.99450;0.68607;0.53419;2.42596;2.82151;-0.93458;0.67283;-0.33707;2.89315;3.32415;0.13187;
0.56909;-0.06247;1.10687;1.53355;-0.13420;-0.50033;-1.45787;0.99100;0.69278;0.53789;2.43477;2.83418;-0.94456;0.65849;-0.35028;2.91278;3.34378;0.11866;
0.56530;-0.06490;1.14321;1.57176;-0.13801;-0.49455;-1.44964;0.98687;0.69897;0.54165;2.44131;2.84458;-0.95556;0.64296;-0.36480;2.93173;3.36273;0.10509;
0.56546;-0.06353;1.18004;1.61010;-0.17678;-0.52502;-1.45624;0.96271;0.68532;0.51392;2.40607;2.81314;-0.96926;0.62413;-0.38275;2.97529;3.40629;0.06258;
0.55980;-0.06809;1.21784;1.64915;-0.14358;-0.48453;-1.43136;0.97744;0.71068;0.54951;2.44930;2.86029;-0.98153;0.60730;-0.39886;2.96914;3.40014;0.07624;
0.55808;-0.06884;1.25541;1.68773;-0.14562;-0.48029;-1.42144;0.97245;0.71635;0.55366;2.45145;2.86625;-0.99669;0.58703;-0.41856;2.98809;3.41909;0.06069;
0.55701;-0.06908;1.29233;1.72546;-0.14733;-0.47663;-1.41133;0.96743;0.72185;0.55795;2.45286;2.87136;-1.01308;0.56549;-0.43970;3.00737;3.43837;0.04431;
0.55908;-0.06627;1.32943;1.76322;-0.18358;-0.50824;-1.41631;0.94291;0.70784;0.53294;2.41627;2.83850;-1.03096;0.54232;-0.46261;3.05112;3.48212;-0.00034;
0.55626;-0.06842;1.36420;1.79855;-0.15059;-0.47106;-1.39124;0.95695;0.73203;0.56731;2.45521;2.88082;-1.04879;0.51956;-0.48528;3.04846;3.47946;0.00791;
0.55625;-0.06783;1.39875;1.83357;-0.15253;-0.46923;-1.38188;0.95124;0.73632;0.57256;2.45707;2.88605;-1.06712;0.49645;-0.50844;3.07059;3.50159;-0.01235;
0.55623;-0.06728;1.43202;1.86727;-0.15490;-0.46804;-1.37346;0.94500;0.73974;0.57831;2.45997;2.89219;-1.08483;0.47440;-0.53066;3.09369;3.52469;-0.03383;
0.55732;-0.06561;1.46582;1.90147;-0.19087;-0.50046;-1.38068;0.91933;0.72362;0.55702;2.42890;2.86451;-1.10034;0.45539;-0.54997;3.14029;3.57129;-0.08219;
0.55551;-0.06678;1.49602;1.93208;-0.16148;-0.46723;-1.36018;0.92990;0.74320;0.59177;2.47044;2.90892;-1.11694;0.43521;-0.57057;3.14337;3.57437;-0.08085;
0.55462;-0.06695;1.52706;1.96355;-0.16575;-0.46725;-1.35567;0.92068;0.74293;0.59956;2.47862;2.92017;-1.13069;0.41884;-0.58748;3.16985;3.60085;-0.10618;
0.55332;-0.06741;1.55747;1.99443;-0.17057;-0.46726;-1.35273;0.91028;0.74123;0.60797;2.48896;2.93357;-1.14259;0.40499;-0.60201;3.19711;3.62811;-0.13235;
